location,sex,population2010,meanpopulation,population2011
Soure,HM,19291,19205,19119
Soure,H,9182,9139,9095
Soure,M,10109,10067,10024
Pinhal Litoral,HM,261125,260927,260728
Pinhal Litoral,H,126059,125874,125688
Pinhal Litoral,M,135066,135053,135040
Batalha,HM,15819,15808,15796
Batalha,H,7659,7644,7629
Batalha,M,8160,8164,8167
Leiria,HM,126906,126930,126953
Leiria,H,61339,61329,61319
Leiria,M,65567,65601,65634
Marinha Grande,HM,38698,38675,38652
Marinha Grande,H,18667,18640,18612
Marinha Grande,M,20031,20036,20040
Pombal,HM,55340,55185,55029
Pombal,H,26526,26414,26302
Pombal,M,28814,28771,28727
Porto de Mós,HM,24362,24330,24298
Porto de Mós,H,11868,11847,11826
Porto de Mós,M,12494,12483,12472
Pinhal Interior Norte,HM,131657,131109,130560
Pinhal Interior Norte,H,62736,62437,62138
Pinhal Interior Norte,M,68921,68672,68422
Alvaiázere,HM,7312,7267,7221
Alvaiázere,H,3414,3395,3376
Alvaiázere,M,3898,3872,3845
Ansião,HM,13158,13092,13026
Ansião,H,6210,6170,6129
Ansião,M,6948,6923,6897
Arganil,HM,12095,12021,11947
Arganil,H,5761,5723,5685
Arganil,M,6334,6298,6262
Castanheira de Pêra,HM,3200,3185,3169
Castanheira de Pêra,H,1524,1519,1513
Castanheira de Pêra,M,1676,1666,1656
Figueiró dos Vinhos,HM,6194,6155,6115
Figueiró dos Vinhos,H,2907,2892,2876
Figueiró dos Vinhos,M,3287,3263,3239
Góis,HM,4275,4233,4191
Góis,H,2009,1986,1963
Góis,M,2266,2247,2228
Lousã,HM,17611,17610,17609
Lousã,H,8534,8527,8520
Lousã,M,9077,9083,9089
Miranda do Corvo,HM,13128,13087,13045
Miranda do Corvo,H,6330,6301,6272
Miranda do Corvo,M,6798,6786,6773
Oliveira do Hospital,HM,20875,20818,20761
Oliveira do Hospital,H,10014,9985,9956
Oliveira do Hospital,M,10861,10833,10805
Pampilhosa da Serra,HM,4503,4462,4421
Pampilhosa da Serra,H,2076,2056,2035
Pampilhosa da Serra,M,2427,2407,2386
Pedrógão Grande,HM,3929,3901,3873
Pedrógão Grande,H,1863,1853,1842
Pedrógão Grande,M,2066,2049,2031
Penela,HM,5990,5962,5934
Penela,H,2842,2824,2806
Penela,M,3148,3138,3128
Tábua,HM,12103,12036,11969
Tábua,H,5765,5723,5681
Tábua,M,6338,6313,6288
Vila Nova de Poiares,HM,7284,7282,7279
Vila Nova de Poiares,H,3487,3486,3484
Vila Nova de Poiares,M,3797,3796,3795
Dão-Lafões,HM,277523,276773,276023
Dão-Lafões,H,131744,131238,130731
Dão-Lafões,M,145779,145536,145292
