"","lat","lon"
"808",33,-8.75
"809",33.5,-8.75
"810",34,-8.75
"811",34.5,-8.75
"812",35,-8.75
"813",35.5,-8.75
"814",36,-8.75
"815",36.5,-8.75
"816",37,-8.75
"817",37.5,-8.75
"818",38,-8.75
"819",38.5,-8.75
"820",39,-8.75
"821",39.5,-8.75
"822",40,-8.75
"823",40.5,-8.75
"824",41,-8.75
"825",41.5,-8.75
"826",42,-8.75
"827",42.5,-8.75
"828",43,-8.75
"829",43.5,-8.75
"830",44,-8.75
"831",44.5,-8.75
"832",45,-8.75
"833",45.5,-8.75
"834",46,-8.75
"835",46.5,-8.75
"836",47,-8.75
"837",25.5,-8.125
"838",26,-8.125
"839",26.5,-8.125
"840",27,-8.125
"841",27.5,-8.125
"842",28,-8.125
"843",28.5,-8.125
"844",29,-8.125
"845",29.5,-8.125
"846",30,-8.125
"847",30.5,-8.125
"848",31,-8.125
"849",31.5,-8.125
"850",32,-8.125
"851",32.5,-8.125
"852",33,-8.125
"853",33.5,-8.125
"854",34,-8.125
"855",34.5,-8.125
"856",35,-8.125
"857",35.5,-8.125
"858",36,-8.125
"859",36.5,-8.125
"860",37,-8.125
"861",37.5,-8.125
"862",38,-8.125
"863",38.5,-8.125
"864",39,-8.125
"865",39.5,-8.125
"866",40,-8.125
"867",40.5,-8.125
"868",41,-8.125
"869",41.5,-8.125
"870",42,-8.125
"871",42.5,-8.125
"872",43,-8.125
"873",43.5,-8.125
"874",44,-8.125
"875",44.5,-8.125
"876",45,-8.125
"877",45.5,-8.125
"878",46,-8.125
"879",46.5,-8.125
"880",47,-8.125
"881",25.5,-7.5
"882",26,-7.5
"883",26.5,-7.5
"884",27,-7.5
"885",27.5,-7.5
"886",28,-7.5
"887",28.5,-7.5
"888",29,-7.5
"889",29.5,-7.5
"890",30,-7.5
"891",30.5,-7.5
"892",31,-7.5
"893",31.5,-7.5
"894",32,-7.5
"895",32.5,-7.5
"896",33,-7.5
"897",33.5,-7.5
"898",34,-7.5
"899",34.5,-7.5
"900",35,-7.5
"901",35.5,-7.5
"902",36,-7.5
"903",36.5,-7.5
"904",37,-7.5
"905",37.5,-7.5
"906",38,-7.5
"907",38.5,-7.5
"908",39,-7.5
"909",39.5,-7.5
"910",40,-7.5
"911",40.5,-7.5
"912",41,-7.5
"913",41.5,-7.5
"914",42,-7.5
"915",42.5,-7.5
"916",43,-7.5
"917",43.5,-7.5
"918",44,-7.5
"919",44.5,-7.5
"920",45,-7.5
"921",45.5,-7.5
"922",46,-7.5
"923",46.5,-7.5
"924",47,-7.5
"925",25.5,-6.875
"926",26,-6.875
"927",26.5,-6.875
"928",27,-6.875
"929",27.5,-6.875
"930",28,-6.875
"931",28.5,-6.875
"932",29,-6.875
"933",29.5,-6.875
"934",30,-6.875
"935",30.5,-6.875
"936",31,-6.875
"937",31.5,-6.875
"938",32,-6.875
"939",32.5,-6.875
"940",33,-6.875
"941",33.5,-6.875
"942",34,-6.875
"943",34.5,-6.875
"944",35,-6.875
"945",35.5,-6.875
"946",36,-6.875
"947",36.5,-6.875
"948",37,-6.875
"949",37.5,-6.875
"950",38,-6.875
"951",38.5,-6.875
"952",39,-6.875
"953",39.5,-6.875
"954",40,-6.875
"955",40.5,-6.875
"956",41,-6.875
"957",41.5,-6.875
"958",42,-6.875
"959",42.5,-6.875
"960",43,-6.875
"961",43.5,-6.875
"962",44,-6.875
"963",44.5,-6.875
"964",45,-6.875
"965",45.5,-6.875
"966",46,-6.875
"967",46.5,-6.875
"968",47,-6.875
"969",25.5,-6.25
"970",26,-6.25
"971",26.5,-6.25
"972",27,-6.25
"973",27.5,-6.25
"974",28,-6.25
"975",28.5,-6.25
"976",29,-6.25
"977",29.5,-6.25
"978",30,-6.25
"979",30.5,-6.25
"980",31,-6.25
"981",31.5,-6.25
"982",32,-6.25
"983",32.5,-6.25
"984",33,-6.25
"985",33.5,-6.25
"986",34,-6.25
"987",34.5,-6.25
"988",35,-6.25
"989",35.5,-6.25
"990",36,-6.25
"991",36.5,-6.25
"992",37,-6.25
"993",37.5,-6.25
"994",38,-6.25
"995",38.5,-6.25
"996",39,-6.25
"997",39.5,-6.25
"998",40,-6.25
"999",40.5,-6.25
"1000",41,-6.25
"1001",41.5,-6.25
"1002",42,-6.25
"1003",42.5,-6.25
"1004",43,-6.25
"1005",43.5,-6.25
"1006",44,-6.25
"1007",44.5,-6.25
"1008",45,-6.25
"1009",45.5,-6.25
"1010",46,-6.25
"1011",46.5,-6.25
"1012",47,-6.25
"1013",25.5,-5.625
"1014",26,-5.625
"1015",26.5,-5.625
"1016",27,-5.625
