"date","dist","index_w","pop","index"
2018-06-24,"REPSOL",0,589235,-0.275789099245828
2018-07-01,"EDP",0,1085289,-0.275789099245828
2018-07-01,"ENDESA",0,19666538,-0.275789099245828
2018-07-01,"IBERDROLA",0.385092973775265,21074760,-0.252776634844178
2018-07-01,"NATURGY",0.582552130269844,4177851,-0.240976830331871
2018-07-01,"REPSOL",0,589235,-0.275789099245828
2018-07-08,"EDP",0,1085289,-0.275789099245828
2018-07-08,"ENDESA",0.211092643758652,19666538,-0.263174582023343
2018-07-08,"IBERDROLA",0.38582906756708,21074760,-0.252732647201365
2018-07-08,"NATURGY",0.960540957540132,4177851,-0.218388896964758
2018-07-08,"REPSOL",0,589235,-0.275789099245828
2018-07-15,"EDP",0,1085289,-0.275789099245828
2018-07-15,"ENDESA",0,19666538,-0.275789099245828
2018-07-15,"IBERDROLA",0.7898494692229,21074760,-0.228589113707371
2018-07-15,"NATURGY",0.33073510759479,4177851,-0.256024963288514
2018-07-15,"REPSOL",0,589235,-0.275789099245828
2018-07-22,"EDP",0,1085289,-0.275789099245828
2018-07-22,"ENDESA",0.190054294253518,19666538,-0.264431796000295
2018-07-22,"IBERDROLA",0.241742966467946,21074760,-0.261342973792915
2018-07-22,"NATURGY",0,4177851,-0.275789099245828
2018-07-22,"REPSOL",0,589235,-0.275789099245828
2018-07-29,"EDP",0,1085289,-0.275789099245828
2018-07-29,"ENDESA",0.295122659616044,19666538,-0.258153099211982
2018-07-29,"IBERDROLA",0.568081487048963,21074760,-0.241841569978312
2018-07-29,"NATURGY",0,4177851,-0.275789099245828
2018-07-29,"REPSOL",0,589235,-0.275789099245828
2018-08-05,"EDP",0,1085289,-0.275789099245828
2018-08-05,"ENDESA",0.211092643758652,19666538,-0.263174582023343
2018-08-05,"IBERDROLA",0.488899043215676,21074760,-0.246573370592811
2018-08-05,"NATURGY",0.291276065134922,4177851,-0.258382964788849
2018-08-05,"REPSOL",0,589235,-0.275789099245828
2018-08-12,"EDP",0,1085289,-0.275789099245828
2018-08-12,"ENDESA",0.211092643758652,19666538,-0.263174582023343
2018-08-12,"IBERDROLA",0.151530361437093,21074760,-0.266733917028
2018-08-12,"NATURGY",0,4177851,-0.275789099245828
2018-08-12,"REPSOL",0,589235,-0.275789099245828
2018-08-19,"EDP",2,1085289,-0.156272691683015
2018-08-19,"ENDESA",0.190054294253518,19666538,-0.264431796000295
2018-08-19,"IBERDROLA",0.521734814536441,21074760,-0.244611163878905
2018-08-19,"NATURGY",1.16510426053969,4177851,-0.206164561417913
2018-08-19,"REPSOL",0,589235,-0.275789099245828
2018-08-26,"EDP",0,1085289,-0.275789099245828
2018-08-26,"ENDESA",0.422185287517305,19666538,-0.250560064800858
2018-08-26,"IBERDROLA",0.54736381339574,21074760,-0.243079620942358
